subj,rama,side,cond,fs,dur_s,snr_db,MDF,MNF,peakF,totpow,p_20_60,p_60_150,p_150_250,p_250_450,n_cycles,chew_rate,cv_ipi,med_dur,med_amp,med_area,duty,rms_amp,mdf_slope,mnf_slope
PS11,R2,L,ANE,1024.0,240.0,19.39,102.0,114.81322740975976,64.0,1.4266036552006174e-09,3.2339118121385404e-10,7.029210502414197e-10,3.250562447924717e-10,5.783771532957534e-11,369,1.6981757877280266,0.24051459375469114,0.44189453125,3.383753113464542e-05,1.215784177447665e-05,0.75675048828125,3.771484577199379e-05,2.047290882880348,1.6722672943251509
PS11,R2,L,PLA,1024.0,240.0,19.77,105.0,118.30690767141762,63.0,1.535398845715056e-09,3.1986102117906807e-10,7.575491018582308e-10,3.6387402884596876e-10,7.491114395185195e-11,365,1.6305732484076434,0.2667769937490362,0.48974609375,3.2682988124319804e-05,1.330061831595147e-05,0.78841552734375,3.943670090889625e-05,-3.495657677296859,-2.655161554395728
PS11,R2,R,ANE,1024.0,240.0,29.13,112.0,123.49239195702673,70.0,5.717012318781275e-09,1.078794041716337e-09,2.770610119629848e-09,1.4734080554033414e-09,3.2296856904644466e-10,374,1.6897689768976898,0.21934551990259213,0.4462890625,8.049752299370391e-05,2.5316363104025403e-05,0.747021484375,7.549892415437534e-05,-2.5225906262086433,-1.6201643390617462
PS11,R2,R,PLA,1024.0,240.0,28.54,111.0,122.05540601759172,60.0,4.927595959102766e-09,9.788795180861373e-10,2.3603432443982216e-09,1.247465800084258e-09,2.7529097175890907e-10,348,1.5975039001560063,0.2728996191095461,0.48046875,6.346763249186796e-05,2.544583302213272e-05,0.7553629557291667,7.050926196887602e-05,-4.7741992194367295,-2.919025277499726
PS12,R2,L,ANE,1024.0,240.0,21.36,94.0,108.12775633701311,43.0,7.104836180678013e-09,1.79165311132047e-09,3.61243998673634e-09,1.3806504463052596e-09,2.367061986174328e-10,371,1.5340823970037454,0.18609621701430584,0.40966796875,0.0001329198395696354,2.2673311921984598e-05,0.6696736653645833,8.390431465664182e-05,-1.0668401251714077,-2.8399559966328787
PS12,R2,L,PLA,1024.0,240.0,20.64,99.0,112.29519215483968,60.0,5.877166184342705e-09,1.303379134358127e-09,3.0845845101098233e-09,1.1951405758883641e-09,2.1738799370958925e-10,347,1.4514528703047485,0.2292193559814057,0.40576171875,0.00012687668256698044,2.1578630146857115e-05,0.6141153971354166,7.724429636400026e-05,-11.70317499384691,-10.662884997272624
PS12,R2,R,ANE,1024.0,240.0,48.19,30.0,39.46354258398356,23.0,2.4537493184287235e-05,2.1564293027043584e-05,2.4720566394693773e-06,3.217651240760608e-07,6.782797174342225e-08,351,1.6897689768976898,0.3183658556736452,0.46240234375,0.006910456849561777,0.001149315602025247,0.7711629231770833,0.0052406869434986425,-11.012376498716643,-11.503305396341228
PS12,R2,R,PLA,1024.0,240.0,44.38,35.0,47.22291579093717,23.0,1.0600027131737947e-05,8.470928550635545e-06,1.7712975168421938e-06,2.3977905929743093e-07,4.8949680969605506e-08,337,1.5802469135802468,0.34251869949597197,0.4482421875,0.0015736380407840775,0.00034279843848020365,0.71080322265625,0.003378902578130545,-8.716993073379978,-8.40857654885961
PS13,R1,L,ANE,1024.0,240.0,28.08,99.0,105.78068987499782,94.0,4.92417092366218e-09,1.0726124306527664e-09,2.8784479128115246e-09,8.443535677317724e-10,7.629396326869928e-11,328,1.3969986357435198,0.22407690549249262,0.50390625,5.213252891185659e-05,2.0412609804707158e-05,0.7262736002604167,7.035574328825885e-05,1.5864421082240419,3.192063462392162
PS13,R1,L,PLA,1024.0,240.0,27.77,98.0,105.85956035143771,91.0,4.617939957697214e-09,9.62835264663983e-10,2.7323632277089128e-09,8.015523897083838e-10,6.854136628721908e-11,317,1.3333333333333333,0.2375565253308917,0.53515625,4.755212399541948e-05,2.0828999856820878e-05,0.7216145833333333,6.788719957696273e-05,-0.5519848106606655,0.7942063693118402
PS13,R1,R,ANE,1024.0,240.0,28.77,89.0,97.67132788786446,26.0,1.4764023656440841e-08,4.345641320535064e-09,7.818245389811935e-09,2.230992208180502e-09,2.11981353122104e-10,356,1.5036710719530102,0.24057301973190223,0.48046875,0.00011908125628759894,3.773558929172775e-05,0.7444132486979167,0.00012171110399105924,-3.0941950001758016,-2.136782428395432
PS13,R1,R,PLA,1024.0,240.0,28.16,91.0,99.80120773029194,47.0,1.284873194582825e-08,3.1603480384394387e-09,7.48808827601933e-09,1.881246964933296e-09,1.6973344017938767e-10,338,1.3969986357435198,0.2725502887957633,0.4716796875,0.00010325180680820635,3.883475146595499e-05,0.68876953125,0.0001134406783922489,-10.261137090819592,-7.119966095081882
PS14,R2,L,ANE,1024.0,240.0,27.32,108.0,118.54699838087411,40.0,3.567594750792435e-09,7.788365942027406e-10,1.7093079540730147e-09,8.831557130945298e-10,1.540488804477121e-10,320,1.3178893178893178,0.250562553578327,0.53515625,5.373995974036598e-05,1.811219467902487e-05,0.7137939453125,6.049513736558813e-05,2.0504553285749445,0.9253423308828925
PS14,R2,L,PLA,1024.0,240.0,25.74,103.0,115.23843347362714,38.0,2.5856462967362916e-09,6.183136918100188e-10,1.2299955792795896e-09,5.885889696623102e-10,1.1213620717380793e-10,332,1.3800539083557952,0.3330857164763589,0.49609375,4.3095211619002086e-05,1.6142690688282777e-05,0.69254150390625,5.045762108039203e-05,-2.8830209908231064,-4.133231303370716
PS14,R2,R,ANE,1024.0,240.0,28.88,93.0,104.90836806545795,41.0,1.1372411997132127e-08,3.0028941842504074e-09,5.929892752549079e-09,1.9315377164749495e-09,3.633696349648651e-10,355,1.4566145092460883,0.28822433738667735,0.47998046875,0.00010903155239717566,3.5679056153586414e-05,0.71810302734375,0.00010714338457527501,-13.492458071094548,-10.645043021577484
PS14,R2,R,PLA,1024.0,240.0,29.39,99.0,112.36852272269849,37.0,1.3144187036502993e-08,3.1818599537799226e-09,6.506924091901752e-09,2.750117577931517e-09,5.442490380792175e-10,340,1.4442877291960508,0.3376881528620049,0.4619140625,0.00010401306367137497,3.715054909993781e-05,0.6658487955729167,0.0001135777718581393,-8.924897155514925,-6.0089773809622935
PS15,R1,L,ANE,1024.0,240.0,16.58,117.0,122.02582988042843,135.0,7.94970740394207e-09,1.259165580841604e-09,4.256196588515293e-09,2.0849797208525e-09,2.475055677136106e-10,406,1.695364238410596,0.11501005907671433,0.4111328125,0.00010388405156852684,2.672940390001383e-05,0.7276407877604166,8.954264371634774e-05,-18.365598959248974,-15.862265480935378
PS15,R1,L,PLA,1024.0,240.0,16.68,115.0,121.31011952777756,64.0,8.229315285497274e-09,1.3071692927211489e-09,4.480824906264338e-09,2.0822696176804988e-09,2.6145177741422144e-10,419,1.7808695652173914,0.152094147174965,0.41552734375,0.000109418802919408,2.6313804998548886e-05,0.7410970052083333,9.05517850870913e-05,-13.914173200661022,-11.205876720381232
PS15,R1,R,ANE,1024.0,240.0,20.79,89.0,103.6316313477362,37.0,1.2785925425509316e-08,3.714051158014323e-09,6.1935824994911516e-09,2.3741318535842957e-09,3.2909901224973126e-10,406,1.6842105263157894,0.11688609352144146,0.43359375,0.00011826021750876298,3.800104227322046e-05,0.76796875,0.00011329706995334354,-15.107063746000494,-13.508805885007378
PS15,R1,R,PLA,1024.0,240.0,20.84,95.0,107.19534369704245,51.0,1.3088793861619087e-08,3.40249751673497e-09,6.557488488193439e-09,2.6030081155300984e-09,3.519216044982322e-10,419,1.7746967071057191,0.15889122828138358,0.43505859375,0.00016397143478777572,3.759282374115045e-05,0.7815388997395833,0.00011390814760065028,-8.471854013571958,-8.13258956220916
S1,R1,L,ANE,1024.0,240.0,24.76,90.0,99.09995852647769,37.0,1.2549706296500302e-08,3.6061530659280085e-09,6.621406905921204e-09,1.9356388525638676e-09,2.544187474668161e-10,354,1.5538694992412747,0.14912966005421902,0.412109375,0.00015906614704415493,2.955437112766608e-05,0.6393961588541667,0.00011263726151607765,3.208009563658099,-0.33390847710933
S1,R1,L,PLA,1024.0,240.0,23.45,91.0,102.12461595999753,32.0,9.225246793923539e-09,2.6811971852680867e-09,4.6275832501222e-09,1.572856106771801e-09,2.541707020265469e-10,334,1.4371929824561402,0.186240685388153,0.4755859375,0.0001137195715402857,2.876067113661487e-05,0.7101481119791667,9.685864034277995e-05,8.901058331282304,7.7363228734513125
S1,R1,R,ANE,1024.0,240.0,30.2,95.0,105.54298891604441,39.0,2.330022604245103e-08,6.1583743018314315e-09,1.1855359329843746e-08,4.467803184550238e-09,5.804515300463898e-10,358,1.5609756097560976,0.15505935479865188,0.44140625,0.00020735344151928757,4.2096604950737383e-05,0.7053629557291666,0.00015372132280014645,-1.263668647375268,-0.8725876421565082
S1,R1,R,PLA,1024.0,240.0,29.82,95.0,105.72386238076993,32.0,2.1246840874237505e-08,5.6871387125054615e-09,1.0783480885753891e-08,3.931086397256421e-09,6.329788809377165e-10,335,1.4321678321678322,0.18792375394258395,0.48291015625,0.00019798379755504842,4.4242175934748176e-05,0.7230509440104167,0.000147134109168743,1.5238915649941989,2.8952987396415346
S2,R1,L,ANE,1024.0,240.0,8.97,51.0,66.87427317658957,24.0,2.588867246593832e-09,1.4870396870637888e-09,8.993907178398858e-10,1.5227636466068734e-10,2.5954189267355992e-11,375,1.6489533011272142,0.22499561383898242,0.4599609375,4.4554131086025126e-05,1.720571254379603e-05,0.7620279947916667,5.222379580282981e-05,-5.406982876832741,-1.1581955058947437
S2,R1,L,PLA,1024.0,240.0,16.37,31.0,46.12893762939289,23.0,1.309686983696069e-08,1.0640182267335038e-08,1.917476405577168e-09,4.1019580650004605e-10,7.085582776114137e-11,339,1.8028169014084507,0.265029596443962,0.4755859375,9.972946899663399e-05,3.8589981294554646e-05,0.7517374674479167,0.00012240406172577052,0.7039836855244189,2.327846447625792
S2,R1,R,ANE,1024.0,240.0,21.46,82.0,94.65815666942271,58.0,1.581346717117035e-08,4.6959728258151025e-09,8.577686088291996e-09,2.129620673299597e-09,1.8683744052500403e-10,369,1.6331738437001595,0.1917960933269754,0.4619140625,0.00015159168297890538,4.184158092983651e-05,0.7662434895833333,0.00012650173081500972,-0.760416300411378,-0.803086976601611
S2,R1,R,PLA,1024.0,240.0,21.52,80.0,92.81176049532746,54.0,1.6233438050022045e-08,4.963540929436063e-09,8.75186839783117e-09,2.1023179827874836e-09,1.8833339249752014e-10,370,1.6529459241323647,0.21124599211953324,0.466796875,0.00014870094007215335,4.3017237414970135e-05,0.7751668294270834,0.00012731357455796996,1.2451038993003054,0.05103569872661485
S3,R1,L,ANE,1024.0,240.0,15.05,102.0,118.180593349695,34.0,1.997847637129516e-09,5.451457668174632e-10,8.324381124821416e-10,4.671554975155566e-10,1.2891346682900317e-10,357,1.4776334776334776,0.2393299182508624,0.45361328125,4.766129044390274e-05,1.5503288820057375e-05,0.7215413411458333,4.470250741873019e-05,2.514995956541613,-0.5284140973881962
S3,R1,L,PLA,1024.0,240.0,14.51,110.0,122.87736233743439,40.0,1.7817632420208517e-09,4.429586508825305e-10,7.447177593665794e-10,4.5269065389092915e-10,1.2155637151593343e-10,368,1.5585996955859969,0.23086209500393415,0.4296875,4.1864748156589216e-05,1.3182714267679816e-05,0.7189453125,4.197452736081215e-05,-6.357793326535637,-3.495451055699313
S3,R1,R,ANE,1024.0,240.0,13.9,105.0,120.0186824200648,37.0,1.8002529499032263e-09,4.5010223406080415e-10,7.851174625733971e-10,4.2509710268222766e-10,1.186097869651216e-10,350,1.4351786965662228,0.19829752033276665,0.4365234375,4.792224982222745e-05,1.4676325945060279e-05,0.69154052734375,4.23989068217096e-05,-5.9709925811328715,-4.288323718090283
