subj,sel_side,cond,bout,amp_L,amp_R,mamp_L,mamp_R,asym
PS2,R,ANE,4,75.03167371942082,88.81604900828296,126.70174374050127,173.53009072127693,-0.08412918446092846
PS2,R,PLA,1,69.4440357559253,70.09505778760091,131.68093429123152,109.83661479387459,-0.004665517133179112
PS2,R,PLA,2,87.65060394422866,91.80296952689055,126.950112975055,197.4896860048236,-0.023138940631517342
PS2,R,PLA,3,88.58301158249616,89.15792415537207,137.29600216728565,206.04600863135175,-0.0032345535398991755
PS2,R,PLA,4,70.38762035518,83.07364476265262,123.91327529012429,160.77173557482183,-0.08266597045014444
S7,R,ANE,1,64.95975651387955,113.2808243383977,97.73388813413433,300.96413277749565,-0.27110026007245536
S7,R,ANE,2,69.09369587124785,117.36141264967769,105.33554774203868,214.71404576911513,-0.25887044426574446
S7,R,ANE,3,79.68090526391146,133.20685599555625,164.4806035008165,238.59274287583568,-0.2514280314423857
S7,R,ANE,4,87.76751578656086,137.6186886211247,120.7174686641955,287.03148156249705,-0.2211811187183013
S7,R,PLA,1,77.63505110989804,105.7899589001096,118.66057996921917,197.17865902388004,-0.1534954681952874
S7,R,PLA,2,83.79014738950603,121.03796222024091,122.55139432905402,239.83892767564402,-0.18184913634023123
S7,R,PLA,3,97.2070678262116,141.11718127302356,166.33639510403478,302.57426498597255,-0.18424526086948112
S7,R,PLA,4,92.21579915129131,138.28316209746893,117.69181452578981,251.35742554414725,-0.199859308244172
